GO_ID,SPECIES,local_cc_10,edges_10
GO_0051604,CE,0.121782653,0.139629751
GO_0051726,CE,0.204618192,0.318340135
GO_0055065,CE,0.084573686,0.109348794
GO_0055085,CE,0.062414856,0.143927678
GO_0055086,CE,0.211857187,0.217133016
GO_0061007,CE,0,0
GO_0061024,CE,0.003317014,0.060057672
GO_0065003,CE,0.167845103,0.237455957
GO_0071554,CE,0,0
GO_0071941,CE,0,0
GO_0072659,CE,-0.100179753,-0.025960346
GO_0098542,CE,0.12526197,0.174582687
GO_0098754,CE,0.269869874,0.373367096
GO_0140013,CE,0.284739787,0.381106979
GO_0140014,CE,0.238973532,0.304172706
GO_0140053,CE,0.170602507,0.173684778
GO_1901135,CE,0.084500434,0.160092464
GO_0000278,DM,0.241599999,0.360609885
GO_0000502,DM,0.408690361,0.099189553
GO_0000902,DM,0.114976589,0.155805798
GO_0000910,DM,0.11613469,0.122947144
GO_0002181,DM,-0.072735686,-0.041075274
GO_0002376,DM,0.038371184,0.07498947
GO_0003012,DM,0.434822229,0.454013003
GO_0003013,DM,0.059331723,0.2364521
GO_0003014,DM,0.077405933,-0.058247313
GO_0003016,DM,0,0
GO_0005975,DM,0.047521894,0.202971746
GO_0006091,DM,0.204314907,0.500208869
GO_0006099,DM,0.183553609,0.127467978
GO_0006259,DM,0.25041236,0.387859471
GO_0006260,DM,0.33783136,0.442887898
GO_0006281,DM,0.349984969,0.435671187
GO_0006310,DM,0.225124252,0.412717236
GO_0006325,DM,0.185726146,0.398114395
GO_0006351,DM,0.314070052,0.290575877
GO_0006355,DM,0.042265104,0.041167626
GO_0006399,DM,0.042355562,0.120493834
GO_0006412,DM,0.174475932,0.205415536
GO_0006457,DM,0.214784648,0.325960662
GO_0006486,DM,0.232082548,0.348424962
GO_0006520,DM,0.175416079,0.255440275
GO_0006575,DM,0.112997442,0.019044349
GO_0006629,DM,0.223855035,0.219147133
GO_0006766,DM,0.210446871,0.250251857
GO_0006790,DM,0.151351377,0.160461904
GO_0006886,DM,0.183884041,0.153058529
GO_0006913,DM,0.076012254,0.287419713
GO_0006914,DM,0.297626204,0.305762697
GO_0006954,DM,0,0
GO_0007005,DM,0.215443617,0.244962739
GO_0007010,DM,0.081666029,0.121374644
GO_0007018,DM,0.328951703,0.419484024
GO_0007031,DM,0.638439124,0.494486176
GO_0007040,DM,0.105635508,0.158253086
GO_0007049,DM,0.296446827,0.422146954
GO_0007059,DM,0.300285811,0.415794846
