name,local_cc_10,edges_10
GO_0061007_DM,0,0
GO_0061007_DR,0,0
GO_0061007_HS,0,0
GO_0061007_SC,0,0
GO_0061007_SP,0,0
GO_0071554_CE,0,0
GO_0071554_DM,0,0
GO_0071554_DR,0,0
GO_0071554_HS,0,0
GO_0071941_CE,0,0
GO_0071941_DM,0,0
GO_0071941_DR,0,0
GO_0071941_SC,0,0
GO_0071941_SP,0,0
GO_0098542_SC,0,0
GO_0098542_SP,0,0
GO_0030154_DR,-0.005518177,0.011376903
GO_0048856_CE,0.007402916,0.006056122
GO_0002376_DR,0.018622827,-0.004330711
GO_0006399_CE,0.031485693,-0.017160225
GO_0036211_SC,-0.024419852,0.040488969
GO_0003014_DM,0.077405933,-0.058247313
GO_0048856_DM,0.009565487,0.022091417
GO_0098542_DM,-0.018492441,0.053491169
GO_0007155_HS,0.029926725,0.011889362
GO_0042060_DM,0.045693081,-0.002672846
GO_0032200_AT,-0.013268184,0.057711736
GO_0007040_DR,0.05670197,-0.007584779
GO_0036211_AT,0.030473405,0.020739166
GO_0000910_SC,-0.003037951,0.055750711
GO_0008361_HS,0.008681309,0.045121364
GO_0030154_HS,0.040679972,0.014503972
GO_0000910_AT,0.028258268,0.027014819
GO_0002181_SC,0.027000968,0.028432874
GO_0061024_CE,0.003317014,0.060057672
GO_0022414_AT,-0.003936786,0.067931596
GO_0030154_SC,0.029109968,0.0417703
GO_0065003_SC,0.065226168,0.007066095
GO_0006766_DR,-0.02443032,0.097628615
GO_0023052_CE,0.024611534,0.049304969
GO_0012501_DR,0.017978611,0.060873977
GO_0006099_HS,0.079484345,0.000728105
GO_0036211_CE,0.05953117,0.022088982
GO_0006355_DM,0.042265104,0.041167626
GO_0012501_DM,0.045837231,0.040022321
GO_0006954_HS,0.039395792,0.047436688
GO_0022600_CE,0.052834251,0.034217352
GO_0048870_DR,0.024891375,0.076411966
GO_0000902_HS,0.049665546,0.058284289
GO_0002376_DM,0.038371184,0.07498947
GO_0048856_SP,0.055645891,0.064665988
GO_0030154_CE,0.084263808,0.043174437
GO_0023052_HS,0.042433761,0.087254484
GO_0006575_DM,0.112997442,0.019044349
GO_0006575_AT,0.078354698,0.056184599
GO_0030198_HS,0.043969982,0.093601142
GO_0006766_AT,0.037878161,0.105711745
GO_0050877_DR,0.084035826,0.066855157
GO_0007010_HS,0.067168391,0.088858239
GO_0006399_DM,0.042355562,0.120493834
GO_0023052_AT,0.087068184,0.075926668
GO_0006399_HS,0.027766729,0.138071241
GO_0000910_SP,0.104855703,0.061666796
GO_0098542_HS,0.069800238,0.09796362
GO_0140053_DR,0.06667934,0.103719103
GO_0023052_DM,0.0795207,0.091991163
GO_0006766_SC,0.040998744,0.130908994
GO_0048870_HS,0.082254021,0.089928454
GO_0055065_HS,0.087538735,0.086257294
GO_0006355_CE,0.077825695,0.097111951
GO_0007040_HS,0.100039209,0.083895228
GO_0006355_HS,0.101176106,0.084569398
GO_0034330_HS,0.080815464,0.105953721
GO_0055085_SP,0.166751836,0.02563028
GO_0055085_AT,0.119248292,0.073811491
GO_0050877_HS,0.091902144,0.101914252
GO_0055065_CE,0.084573686,0.109348794
GO_0007155_DR,0.08867024,0.111361588
GO_0071554_AT,0.079738232,0.122818579
GO_0007568_AT,0.085802716,0.117043317
GO_0007010_DM,0.081666029,0.121374644
GO_0050886_HS,0.076507066,0.128601701
GO_0055085_CE,0.062414856,0.143927678
GO_0023052_SC,0.083015639,0.124623956
GO_0016073_AT,0.164162811,0.045047019
GO_0007010_CE,0.092609786,0.116936923
GO_0006520_DR,0.091229063,0.119038849
GO_0055085_HS,0.116628351,0.093775701
GO_0050877_DM,0.116105808,0.095220645
GO_0022414_CE,0.073433006,0.137908517
GO_0000902_DR,0.107050777,0.105241032
GO_0006766_HS,0.076586019,0.135925664
GO_0023052_DR,0.10537214,0.109679918
GO_0065003_SP,0.118849637,0.096518523
GO_0012501_AT,0.101337857,0.118564535
GO_0007018_SP,0.210622819,0.010144674
GO_0022414_DM,0.099893415,0.121275917
GO_0034330_DM,0.124984171,0.097807642
GO_0006355_SC,0.076621498,0.146620123
GO_0098542_DR,0.118961093,0.108507456
GO_0008361_AT,0.152333824,0.07571488
GO_0003012_DR,0.078844674,0.154134153
GO_0065003_DM,0.095887627,0.1384479
GO_0006886_CE,0.048735261,0.186524984
GO_0030198_DM,0.058252262,0.178869185
GO_0000910_DM,0.11613469,0.122947144
GO_0055086_HS,0.132342466,0.10717734
GO_0048856_SC,0.087160223,0.152605223
GO_0006355_AT,0.100089057,0.141158805
GO_0002376_HS,0.114159325,0.12762746
GO_1901135_CE,0.084500434,0.160092464
GO_0007155_DM,0.062987845,0.182195217
GO_0032200_HS,0.030187371,0.215427046
GO_0071554_SC,0.13729807,0.109597771
GO_0006520_CE,0.05001537,0.199125653
