GO_ID,SPECIES,local_cc_10,edges_10
GO_0030163,HS,0.235989027,0.2981934
GO_0030163,SC,0.19695518,0.334127322
GO_0030163,SP,0.303918032,0.455738893
GO_0042254,AT,0.317420887,0.408032537
GO_0042254,CE,0.274636417,0.29397799
GO_0042254,DM,0.346926697,0.347756298
GO_0042254,DR,0.166445737,0.231741525
GO_0042254,HS,0.391153721,0.449198724
GO_0042254,SC,0.340410323,0.503010572
GO_0042254,SP,0.315762409,0.458919238
GO_0051301,AT,0.31588915,0.506809033
GO_0051301,CE,0.204662027,0.343096566
GO_0051301,DM,0.135360985,0.229893189
GO_0051301,DR,0.35732398,0.379323658
GO_0051301,HS,0.208884388,0.325852542
GO_0051301,SC,0.199449818,0.233102012
GO_0051301,SP,0.15711787,0.288826388
GO_0051726,AT,0.318519838,0.428674443
GO_0051726,CE,0.204618192,0.318340135
GO_0051726,DM,0.317938613,0.332971899
GO_0051726,DR,0.288656189,0.444884635
GO_0051726,HS,0.218624988,0.220809409
GO_0051726,SC,0.28070565,0.419255253
GO_0051726,SP,0.050633182,0.252714807
GO_0098754,AT,0.3445088,0.390756505
GO_0098754,CE,0.269869874,0.373367096
GO_0098754,DM,0.160291824,0.351547858
GO_0098754,DR,0.414631862,0.473703537
GO_0098754,HS,0.235039322,0.370320122
GO_0098754,SC,0.374633077,0.421176495
GO_0098754,SP,0.191418322,0.399159283
GO_0140013,AT,0.283941961,0.387432496
GO_0140013,CE,0.284739787,0.381106979
GO_0140013,DM,0.272273554,0.464475145
GO_0140013,DR,0.278032516,0.346131797
GO_0140013,HS,0.331974477,0.56436613
GO_0140013,SC,0.292956932,0.323757212
GO_0140013,SP,0.192083772,0.496894532
GO_0140014,AT,0.547147848,0.522274337
GO_0140014,CE,0.238973532,0.304172706
GO_0140014,DM,0.274253393,0.421366234
GO_0140014,DR,0.331576433,0.425350415
GO_0140014,HS,0.181369967,0.340469852
GO_0140014,SC,0.142249685,0.386241912
GO_0140014,SP,0.389273518,0.438213583
